영화 제목,review,rating,date
히트맨2,부모님이랑 보기 딱 좋은 영화입니다 ㅋㅋㅋ가족 영화로 완전 강추!!오랜만에 실컷 웃다가 나왔습니다 권상우 개그 역시 취향 저격쓰 남자친구랑도 같이 보려구요,10,2025.01.22. 13:31
히트맨2,"간만에 가족들이랑 웃으면서 볼수있는 영화였어요! 연출도 좋고 재밌게 봤습니다!!! 설연휴에 가족,지인과 볼수있는 영화로 추천합니다!",10,2025.01.22. 12:00
히트맨2,전작을 재밌게 봐서 개봉하자마자 보고 왔네요ㅎㅎ 후속작은 많이 기대 안하고 보는데 기대 이상으로 재밌어요!! 배우님들 고생하셨고 대박 나세요~,10,2025.01.22. 11:54
히트맨2,내용 연기 모두 좋았어요.,10,2025.01.22. 14:10
히트맨2,오랜만에 실컷 웃다가 나왔어요! 부모님 모시고 가서 또 보려고요 요즘같이 힘든 시기에 딱인 영화입니다ㅠㅠ!! 다들 꼭 보시길!!,10,2025.01.22. 13:33
히트맨2,개욱겼다보단 어느순간 보면 계속 웃고 있음. 오히려 힐링돼서 너무 즐거웠던 영화.,10,2025.01.23. 01:17
히트맨2,1편보다 더 재밌게 봤어요,10,2025.01.23. 00:52
히트맨2,"오랜만에 편하고 재밌게 볼 수 있던 영화라 좋았어요!!!넘 웃기고 권상우 아직도 잘생김,,ㅠㅠ",10,2025.01.22. 17:04
히트맨2,"히트맨1 보고 2도 기대하고 있었는데, 1보다 더 재밌게 잘 봤습니다ㅎㅎ 설 연휴에 가족들이랑 한번 더 보고 싶은 영화에요!!!",10,2025.01.22. 14:26
히트맨2,"엄마가 1,2다 봤는데 재밌대요 3탄도 있었으면 좋겠다고 하네요. 저도 궁금해서 봐야겠어요",10,2025.01.22. 23:57
히트맨2,히트맨 1도 너무 재밌게 봤는데 2로 개봉해서 너무 재밌게 봤어요 ㅎㅎ 오랜만에 스트레스 풀수있게 나온 영화라 너무 좋았어요 영화 끝날때까지 재밌게 보고 나왔습니딩 !,10,2025.01.22. 13:32
히트맨2,유쾌하게 보기 좋은 영화였어요!배우들끼리 케미가 잘 보입니다!,10,2025.01.22. 15:55
히트맨2,히트맨2.. 전 너무 재밌게 봤습니다!액션이 너무 좋았고 몰입도도 너무 좋았습니다배우들의 연기도 충분히 빠져들기 좋았던?아주 좋은 영화였습니다!,10,2025.01.22. 15:48
히트맨2,영화 잘 봤습니다~ㅎㅎ,7,2025.01.23. 07:42
히트맨2,HITMAN2HITMAN2,6,2025.01.22. 22:50
히트맨2,6.5점을 주고 싶었는데 소수점은 반영이 안 돼서 7점으로 함. 영화 이야기를 하자면 사실 개연성이 높을 수가 없는 영화라서 그냥 “아 그랬구나!” 하고 일단 넘어가면 크게 거슬리지는 않음. 보다가 피식 피식 하는 장면들은 좀 있는데 전작에 비해 빵 터지는 건 별로 없었던 거 같음. 에펨코리아에 후기글...,7,2025.01.23. 03:03
히트맨2,무난하게 볼만한영화.,6,2025.01.23. 00:18
히트맨2,한국 특유의 코미디 영화를 좋아한다면 추천합니다 2000년대 그 느낌이 나네요,7,2025.01.22. 23:26
히트맨2,1편보단 별루지만 꽤 웃겨요,8,2025.01.22. 21:06
히트맨2,,7,2025.01.22. 13:18
